order_id,product_id,category,sub_category,cost_price,list_price,quantity,discount_percent,discount_amount,sale_price,profit
1,FUR-BO-10001798,Furniture,Bookcases,240.0,260.0,2,2.0,5.2,254.8,14.8
2,FUR-CH-10000454,Furniture,Chairs,600.0,730.0,3,3.0,21.9,708.1,108.1
3,OFF-LA-10000240,Office Supplies,Labels,10.0,10.0,2,5.0,0.5,9.5,-0.5
4,FUR-TA-10000577,Furniture,Tables,780.0,960.0,5,2.0,19.2,940.8,160.8
5,OFF-ST-10000760,Office Supplies,Storage,20.0,20.0,2,5.0,1.0,19.0,-1.0
6,FUR-FU-10001487,Furniture,Furnishings,50.0,50.0,7,3.0,1.5,48.5,-1.5
7,OFF-AR-10002833,Office Supplies,Art,10.0,10.0,4,3.0,0.3,9.7,-0.3
8,TEC-PH-10002275,Technology,Phones,860.0,910.0,6,5.0,45.5,864.5,4.5
9,OFF-BI-10003910,Office Supplies,Binders,20.0,20.0,3,2.0,0.4,19.6,-0.4
10,OFF-AP-10002892,Office Supplies,Appliances,90.0,110.0,5,3.0,3.3,106.7,16.7
11,FUR-TA-10001539,Furniture,Tables,1470.0,1710.0,9,3.0,51.3,1658.7,188.7
12,TEC-PH-10002033,Technology,Phones,750.0,910.0,4,3.0,27.3,882.7,132.7
13,OFF-PA-10002365,Office Supplies,Paper,20.0,20.0,3,3.0,0.6,19.4,-0.6
14,OFF-BI-10003656,Office Supplies,Binders,360.0,410.0,3,2.0,8.2,401.8,41.8
15,OFF-AP-10002311,Office Supplies,Appliances,60.0,70.0,5,5.0,3.5,66.5,6.5
16,OFF-BI-10000756,Office Supplies,Binders,0.0,0.0,3,5.0,0.0,0.0,0.0
17,OFF-ST-10004186,Office Supplies,Storage,610.0,670.0,6,3.0,20.1,649.9,39.9
18,OFF-ST-10000107,Office Supplies,Storage,60.0,60.0,2,4.0,2.4,57.6,-2.4
19,OFF-AR-10003056,Office Supplies,Art,10.0,10.0,2,4.0,0.4,9.6,-0.4
20,TEC-PH-10001949,Technology,Phones,170.0,210.0,3,3.0,6.3,203.7,33.7
21,OFF-BI-10002215,Office Supplies,Binders,20.0,20.0,4,2.0,0.4,19.6,-0.4
22,OFF-AR-10000246,Office Supplies,Art,20.0,20.0,7,4.0,0.8,19.2,-0.8
